team,shots_for,shots_against,shots_on_target_pct,penalties_for,penalties_converted,penalties_against,penalties_conceded,matches_played,avg_possession_pct,saves_pct,home_advantage_index,away_advantage_index
Inter,404,184,0.337,5,4,2,2,22,59.8,0.696,20,18
Milan,302,244,0.341,5,4,7,4,22,51.3,0.824,15,17
Juventus,357,217,0.364,4,2,2,1,22,57.5,0.719,16,13
Napoli,284,239,0.349,3,3,6,4,22,57.6,0.698,15,14
Como,308,220,0.37,4,1,3,2,22,61.3,0.808,12,14
Bologna,291,239,0.306,4,3,2,2,22,55.5,0.685,10,12
Roma,303,220,0.36,3,2,0,0,22,58.0,0.838,12,15
Atalanta,319,242,0.31,2,2,2,1,22,55.6,0.765,12,11
Lazio,240,287,0.363,2,2,2,1,22,50.7,0.802,10,10
Sassuolo,236,306,0.356,3,2,4,4,22,45.5,0.776,9,9
Udinese,248,269,0.302,3,3,6,5,22,46.0,0.602,9,11
Cagliari,222,299,0.342,1,1,1,1,22,44.5,0.732,9,9
Genoa,242,294,0.368,4,1,2,2,22,46.9,0.684,9,8
Cremonese,188,363,0.362,2,2,3,2,22,46.2,0.773,9,8
Parma,248,322,0.242,2,2,4,3,22,43.5,0.742,8,10
Torino,261,299,0.364,5,3,4,4,22,44.3,0.604,8,9
Lecce,215,284,0.242,1,0,5,3,22,42.9,0.701,7,7
Fiorentina,302,288,0.262,5,5,5,4,22,53.5,0.691,7,7
Hellas Verona,246,275,0.366,2,2,3,2,22,39.6,0.624,5,7
Pisa,225,350,0.262,6,5,4,4,22,40.0,0.680,6,6